Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_arm_5_Link,0.000533332369147488,-0.00216768444988033,-0.0927721598894081,0,0,0,1.0052385609769,0.000918506638192363,-1.25586907565884E-07,-8.38758355649187E-06,0.00104063777639191,-1.74437017523334E-07,0.000575324473886643,0,0,0,0,0,0,package://realbots29/meshes/right_arm_5_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_5_Link.STL,,右臂-urdf-1/R5-1;右臂-urdf-1/R6-2-1;右臂-urdf-1/固定板1-1;右臂-urdf-1/R6-1-1,right_arm_5_link,right_arm_5_joint,right_arm_5_joint,revolute,0,0.294000000000003,0,1.5707963267949,1.5707963267949,0,right_arm_4_Link,0,0,1,0,0,-2.97,2.97,,,,,,,,
right_arm_6_Link,-4.92594504075683E-09,-0.00822915494516471,0.000292621672292689,0,0,0,0.518052610280782,0.00024987093380414,5.17021078492024E-11,-3.97954871105914E-10,0.000232724690484706,1.28149834244162E-06,0.000240854839219164,0,0,0,0,0,0,package://realbots29/meshes/right_arm_6_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_6_Link.STL,,右臂-urdf-1/R6-1,right_arm_6_link,right_arm_6_joint,right_arm_6_joint,revolute,0,0,0,1.5707963267949,1.5707963267949,0,right_arm_5_Link,0,0,1,0,0,-0.35,1.13,,,,,,,,
right_arm_7_Link,1.65877348693728E-06,0.0221180979824439,-0.0253131810931894,0,0,0,0.267138179410359,0.000308081592225492,1.86263947731764E-09,6.96383092185923E-09,0.000143441115527371,8.7913801063463E-05,0.000282304102982473,0,0,0,0,0,0,package://realbots29/meshes/right_arm_7_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_7_Link.STL,,右臂-urdf-1/R7-1;右臂-urdf-1/R7-1-1,right_arm_7_link,right_arm_7_joint,right_arm_7_joint,revolute,0,0,0,1.5707963267949,-1.5707963267949,0,right_arm_6_Link,0,0,1,0,0,-1.57,1.75,,,,,,,,
right_arm_8_Link,0.000101622458643269,1.05648236394806E-05,-0.0165709372102082,0,0,0,0.161471175200819,6.6750202760247E-05,3.79551257942697E-08,-2.7382925284439E-07,6.73077820334544E-05,2.72531853433698E-08,8.46077818711249E-05,0,0,0,0,0,0,package://realbots29/meshes/right_arm_8_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://realbots29/meshes/right_arm_8_Link.STL,,右臂-urdf-1/末端-1,right_arm_8_link,right_arm_8_joint,right_arm_8_joint,fixed,0,0.104999999999995,0,-1.5707963267949,0,0,right_arm_7_Link,0,0,0,,,,,,,,,,,,
right_camera_Link,0.00693713950950658,-0.0166657824807137,-0.0274764649332448,0,0,0,0.865177866847211,0.000309713588374178,-3.12556253734763E-05,1.85964635556567E-05,0.000903890731617739,-4.03618928035104E-05,0.00111642525138159,0,0,0,0,0,0,package://realbots29/meshes/right_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://realbots29/meshes/right_camera_Link.STL,,335LG+90D装配-1/335LG+90D装配.STEP-1/335LG+90D相机支架.STEP-1;335LG+90D装配-1/335LG+90D装配.STEP-1/335LG+90D相机后盖.STEP-1;335LG+90D装配-1/335LG+90D装配.STEP-1/335LG+90D相机外壳.STEP-1;335LG+90D装配-1/335LG+90D装配.STEP-1/[3D][STP]Gemini 335Lg Asm with FOV_20240826.STEP-1,right_camera_link,right_camera_joint,right_camera_joint,fixed,0.0972513214465659,0.0255889680232187,0.0531673177613775,0.436332351985314,0,-1.57079632679478,right_arm_8_Link,0,0,0,,,,,,,,,,,,
right_binocular_right_camera_Link,0.0461301225248096,-0.000141811915392254,-0.0167877191124006,0,0,0,0.312696166466156,3.47675586612373E-05,-8.44091553449692E-07,4.91420513154962E-06,0.000365688434072974,1.27022912648579E-07,0.000380710546432609,0,0,0,0,0,0,package://realbots29/meshes/right_binocular_right_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://realbots29/meshes/right_binocular_right_camera_Link.STL,,335LG+90D装配-1/335LG+90D装配.STEP-1/[3D][STP]Gemini 335Lg Asm with FOV_20240826.STEP-1,right_binocular_right_camera_link,head_camera_joint1,right_binocular_right_camera_joint,fixed,-0.0459054299802165,0,-0.0001000000000001,0,0,0,right_camera_Link,0,0,0,,,,,,,,,,,,
right_speckle_camera_Link,0.00210791459595969,-0.00885352491360558,-0.0361202007962085,0,0,0,0.309285796654322,0.000106753296025718,-2.93863538824019E-05,1.38300688634003E-05,0.000383722176513323,7.35585367110273E-06,0.000449717568591458,0,0,0,0,0,0,package://realbots29/meshes/right_speckle_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://realbots29/meshes/right_speckle_camera_Link.STL,,335LG+90D装配-1/335LG+90D装配.STEP-1/335LG+90D相机外壳.STEP-1,right_speckle_camera_link,right_speckle_camera_joint,right_speckle_camera_joint,fixed,0.00159547181944711,0,-0.0001000000000001,0,0,0,right_camera_Link,0,0,0,,,,,,,,,,,,
right_rgb_camera_Link,-0.0251208160089096,-0.000141746268469523,-0.0167877191124006,0,0,0,0.312696166466156,3.47675586612373E-05,-8.44091553449693E-07,4.91420513154962E-06,0.000365688434072974,1.27022912648565E-07,0.000380710546432609,0,0,0,0,0,0,package://realbots29/meshes/right_rgb_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://realbots29/meshes/right_rgb_camera_Link.STL,,335LG+90D装配-1/335LG+90D装配.STEP-1/[3D][STP]Gemini 335Lg Asm with FOV_20240826.STEP-1,right_rgb_camera_link,right_rgb_camera_joint,right_rgb_camera_joint,fixed,0.0253455085535028,0,-0.0001000000000001,0,0,0,right_camera_Link,0,0,0,,,,,,,,,,,,
right_binocular_left_camera_Link,-0.0488698774751904,-0.000141811915372825,-0.0167877191124006,0,0,0,0.312696166466156,3.47675586612373E-05,-8.44091553449697E-07,4.91420513154962E-06,0.000365688434072975,1.27022912648593E-07,0.000380710546432609,0,0,0,0,0,0,package://realbots29/meshes/right_binocular_left_camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://realbots29/meshes/right_binocular_left_camera_Link.STL,,335LG+90D装配-1/335LG+90D装配.STEP-1/[3D][STP]Gemini 335Lg Asm with FOV_20240826.STEP-1,right_binocular_left_camera_link,right_binocular_left_camera_joint,right_binocular_left_camera_joint,fixed,0.0490945700197835,0,-0.000100000000000044,0,0,0,right_camera_Link,0,0,0,,,,,,,,,,,,
right_gripper_base_Link,0.00055844086809162,-4.2825746600958E-06,0.0638613435237048,0,0,0,2.37575719137505,0.00200868750109207,1.13383893935105E-09,-1.02904831266707E-05,0.00233951151606126,-1.13715825359624E-07,0.00133378330938054,0,0,0,0,0,0,package://realbots29/meshes/right_gripper_base_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://realbots29/meshes/right_gripper_base_Link.STL,,right_知行夹爪90D-1/base-link-right-1/R-rtool-base-link-1;right_知行夹爪90D-1/base-link-right-1/R-ctag2f90d 90d两指协作手-20250704外发-1;right_知行夹爪90D-1/rmu01031 v1.0.1 末端转接件5 ctag2f120s-right-1,right_gripper_base_link,right_gripper_base_joint,right_gripper_base_joint,fixed,0,0,0.00299999999999989,0,0,-1.5707963267949,right_arm_8_Link,0,0,0,,,,,,,,,,,,
